"","AT","V","AP","RH","Output"
"2297",24.33,46.93,1013.72,48.27,447.43
"2298",14.87,38.28,1014.65,80.24,467.29
"2299",7.66,41.92,1031.96,82.48,485.11
"2300",27.61,69.68,1012.79,77.01,438.31
"2301",23.4,72.99,1009.48,88.82,438.51
"2302",13.98,44.58,1016.48,77.59,473.01
"2303",18.12,58.95,1017.82,86.16,449.28
"2304",17.12,48.6,1007.38,79.15,454.47
"2305",9.56,44.71,1021.13,64.6,487.92
"2306",24.85,58.05,1011.5,70.12,444.53
"2307",11.63,41.5,1013.6,87.11,477.3
"2308",17.19,43.14,1014.34,68.62,464.72
"2309",15.68,43.7,1015.09,58.96,470.29
"2310",23.64,69.94,1005.2,64.53,439.66
"2311",10.19,44.63,1020.58,91.64,472.45
"2312",27.71,70.32,1008.63,64.05,432.59
"2313",9.12,41.54,1018.61,79.26,482.95
"2314",15.78,48.6,1007.24,84.23,460.86
"2315",27.55,68.08,1011.42,60.71,432.59
"2316",14.5,39,1017.04,75.75,465.32
"2317",23.88,51.95,1005.37,75.25,449.52
"2318",25.01,66.56,1004.55,82.46,434.74
"2319",22.36,58.79,1011.77,87.51,446.49
"2320",27.76,44.89,1009.4,50.15,442.83
"2321",9.95,43.56,1014.85,82.62,477.88
"2322",17.48,58.95,1016.49,90.35,449.26
"2323",17.35,47.83,1006.71,80.57,453.96
"2324",12.82,43.5,1022.38,84.32,471.41
"2325",28.86,49.3,1003.93,52.85,435.75
"2326",33.41,77.95,1010.3,59.72,432.9
"2327",13.63,43.5,1022.12,84.32,468.28
"2328",24.49,70.79,1005.51,88.65,430.54
"2329",25.58,63.47,1011.44,66.81,443.66
"2330",24.25,74.93,1013.07,69.31,445.44
"2331",9.59,38.56,1017.52,61.89,481.05
"2332",23.27,64.15,1020.98,71.18,452.26
"2333",23.09,70.47,1010.76,79.89,439.36
"2334",28.35,70.32,1009.22,47.13,427.21
"2335",19.62,68.63,1012.26,68.05,453.84
"2336",29.13,47.93,1002.5,49.1,435.61
"2337",21.92,66.54,1012.49,79.82,443.03
"2338",12.52,40.24,1020.45,97.41,470.56
"2339",18.17,52.08,1001.91,100.09,451.06
"2340",27.5,65.59,1011.23,65.37,441.27
"2341",14.48,39,1016.75,75.97,464.56
"2342",19.41,46.63,1013.23,86.28,452.6
"2343",24.43,47.45,1007.68,65.18,446.45
"2344",25.45,63.76,1009.96,67.78,439.56
"2345",10.07,39.66,1015.37,83.78,479.64
"2346",18.85,48.06,1012.52,67.88,451.77
"2347",24.65,64.63,1020.52,53.45,446.04
"2348",18.99,62.1,1020,76.76,453.09
"2349",8.8,39.42,1025.17,68.72,476.5
"2350",10.16,41.79,1021.35,52.4,472.75
"2351",27.75,77.24,1007.48,78.37,433.57
"2352",23.43,61.47,1007.84,87.11,448.01
"2353",28.62,69.98,1013.3,68.53,432.11
"2354",15.82,43.34,1014.52,79.07,460.4
"2355",22.61,44.05,1005.69,76.74,443.45
"2356",23.96,60.95,1015.01,65.24,446.4
"2357",29.81,73.67,1005.6,60.91,430.67
"2358",26.98,70.94,1007.99,68.16,434.73
"2359",7.64,41.17,1020.01,75.14,488.53
"2360",20.07,42.23,1012.86,74.11,461.25
"2361",19.05,59.21,1017.99,89.53,451
"2362",26.27,58.33,1013.81,60.43,438.82
"2363",22.45,57.76,1017.55,58.6,450.61
"2364",26.52,73.21,1002.3,95.38,437.02
"2365",24.73,69.94,1006.09,59.15,439.86
"2366",26.11,70.36,1007.64,70.12,445.37
"2367",10.87,38.38,1020.85,69.78,477.03
"2368",7.19,38.91,1016.53,88.61,486.05
"2369",14.91,39.28,1014.57,75.23,469.34
"2370",19.5,52.72,1025.21,50.21,457.26
"2371",22.96,68.61,1011.15,76.62,447.18
"2372",29.74,56.9,1007.15,41.91,438.76
"2373",16.03,41.23,996.35,82.04,464.67
"2374",17.35,52.72,1026.31,58.01,463.65
"2375",11.26,39.35,1015.47,99.28,471.83
"2376",27.82,59.15,1012.74,42.78,442
"2377",28.15,71.94,1006.73,68.21,427.69
"2378",14.66,42.77,1019.37,79.79,463.6
"2379",26.56,49.02,1007.65,70.78,438.82
"2380",15.49,42.07,1018.01,78.07,460.32
"2381",29.29,73.18,1012.4,66.65,430.31
"2382",21.69,57.17,1011.75,82.63,446.61
"2383",33.67,80.18,1010.83,60.87,431.99
"2384",20.79,57.32,1012.47,70.09,446.18
"2385",23.35,71.85,1009.32,73.48,441.28
"2386",27.01,43.77,1011.18,46.58,440.64
"2387",27.71,69.13,1001.63,51.45,432.54
"2388",23.48,49.16,1002.7,70.22,445.72
"2389",17.77,43.72,1009.01,77.7,456.34
"2390",22.24,69.23,1011.83,79.37,441.9
"2391",24.6,57.85,1012.92,69.56,447.09
"2392",19.06,50.16,1011.36,99.64,449.74
"2393",14.56,47.45,1009.52,91.14,451.95
"2394",26.62,71.73,1009.32,80.1,431.93
"2395",23.03,59.04,1011.85,81.24,444.85
"2396",13.73,41.92,1031.01,64.92,466.29
"2397",13.79,42.07,1018.27,88.06,462.25
"2398",23.46,73.18,1012.07,88.14,438.62
"2399",19.58,52.9,1017.46,64.64,458.28
"2400",12.76,43.7,1015.13,65.34,475.73
"2401",6.93,43.13,1018.61,88.31,486.94
"2402",10.63,39.61,1020,72.42,476.99
"2403",17.46,39.99,1008.52,69.73,461.01
"2404",6.15,40.77,1022.42,88.57,482.49
"2405",6.9,44.71,1019.7,71.21,486.3
"2406",25.77,59.39,1014.76,69.99,438.64
"2407",27.86,63.07,1011.11,56.81,440.48
"2408",7.91,41.79,1021.86,54.92,479.02
"2409",22.35,63.47,1013.21,82.52,440.11
"2410",17.65,62.1,1019.63,84.3,452.2
"2411",16.96,52.9,1019.61,81.86,460.2
"2412",18.71,53.16,1013.26,82.64,455.7
"2413",24.22,61.86,1013.39,80.11,442.65
"2414",23.61,59.39,1015.11,78.84,438.08
"2415",14.01,45.08,1023.28,82.49,464.79
"2416",31.33,76.86,997.85,64.43,431.44
"2417",12.86,44.77,1018.75,74.73,468.43
"2418",16.4,38.01,1022.2,73.05,463.79
"2419",22.49,58.82,1009.73,85.19,444.11
"2420",23.75,61.5,1008.16,69.14,442.35
"2421",28.92,66.51,1015.5,34.51,439.09
"2422",12.11,41.17,1019.46,62.59,475.53
"2423",13.64,43.71,1024.41,84.46,468.85
"2424",28.52,57.82,1004.81,57.82,435.4
"2425",24.79,59.21,1017.9,53.83,446.04
"2426",24.27,60.37,1005.13,77.16,437.78
"2427",31.59,62.7,1009.3,50.16,442.58
"2428",23.25,51.86,1013.54,78.34,450.22
"2429",22.1,58.33,1013.71,69.09,441.31
"2430",24.97,54.2,1012.68,74.25,439.71
"2431",11.96,43.41,1017.42,79.44,469.34
"2432",35.03,68.27,1006.55,43.82,426.22
"2433",17.97,65.94,1012.92,88.22,448.88
"2434",24.24,70.32,1009.38,82.83,436.45
"2435",5.04,40.64,1021.35,93.63,484.42
"2436",17.18,40.55,1000.47,72.03,461.73
"2437",11.24,25.36,1009.26,97.47,469.92
"2438",32.69,72.86,1003.57,56.84,431.76
"2439",27.6,73.42,1011.91,83.66,431.44
"2440",7.5,38.06,1021.96,83.45,485.98
"2441",22.15,43.77,1010.81,60.08,448.46
"2442",18.18,44.63,1020.41,48.64,455.57
"2443",17.19,37.2,1011.84,67.59,468.4
"2444",10.42,43.79,1016.22,90.75,474.79
"2445",12.74,49.83,1007.44,91.47,466.09
"2446",27.43,56.85,1011.86,36.76,436.64
"2447",23.68,68.12,1011.18,72.45,441.54
"2448",13.83,42.86,1030.77,75.09,470.21
"2449",16.58,41.93,1022.36,45.24,466.61
"2450",13.41,45,1021.65,45.24,478.96
"2451",16.61,50.9,1013.18,85.26,460.35
"2452",3.99,39.9,1009.74,96.81,490.91
"2453",23.39,63.21,1011.91,84.57,448.3
"2454",14.42,41.16,1004.32,88.42,467.25
"2455",7.11,43.13,1018.96,87.82,486.11
"2456",13.7,45.64,1019.18,92.66,467.9
"2457",24.43,65.18,1012.57,77.83,437.26
"2458",27.39,69.14,1008.82,78.35,435.22
"2459",26.94,62.91,1011.68,41.3,449.1
"2460",19.09,42.44,1012.93,63.59,461.84
"2461",15.46,44.6,1017.7,68.2,459.62
"2462",31.94,74.99,1002.05,34.12,440.17
"2463",10.58,41.49,1020.43,91.9,473.19
"2464",19.95,58.46,1017.45,89.46,447.1
"2465",5.82,40.62,1016.79,85.04,482.67
"2466",12.72,44.9,1007.6,71.8,463.49
"2467",14.87,54.3,1017.17,71.57,462.87
"2468",29.17,67.45,1014.1,46.85,435.08
"2469",14.13,43.7,1015.94,80.89,469.28
"2470",22.67,60.77,1017.56,79.43,444.43
"2471",28.01,64.69,1007.61,58.45,440.23
"2472",30.93,70.83,1010.61,46.13,440.59
"2473",23.01,66.54,1009.86,64.53,442.47
"2474",32.53,77.95,1014.76,58.1,434.44
"2475",26.57,44.57,1007.76,50.39,445.49
"2476",11.64,40.1,1015.5,87.05,477.2
"2477",16.31,42.28,1007.45,77.77,466.49
"2478",20.03,45.01,1012.73,56.89,460.11
"2479",20.79,65.59,1014.9,77,450.3
"2480",17.3,42.24,1017.07,64.52,469.21
"2481",25.86,61.08,1013.51,67.5,449.67
"2482",9.8,41.82,1032.98,67.55,473.72
"2483",25.42,75.6,1017.39,77.63,438.24
"2484",28.75,77.24,1008.92,77.17,433.03
"2485",18.58,46.97,1014.25,74.09,454.26
"2486",22.56,70.79,1005.85,93.09,435.14
"2487",23.05,48.98,1015.64,49.33,446.05
"2488",26.78,52.3,1008.52,61.23,441.21
"2489",10.13,39.18,1024.09,85.48,479.42
"2490",31.97,69.04,1008.5,47.69,441.18
"2491",8.95,36.18,1014.08,76.94,478.07
"2492",7.57,39.61,1018.66,85.73,480.86
"2493",25.97,43.21,1011.9,88.73,434.83
"2494",24.56,60.27,1017.63,74.5,440.31
"2495",30.71,64.05,1011.75,62.81,438.42
"2496",13.8,39.39,1013.85,81.95,471.7
"2497",20.21,58.12,1015.36,79.18,453.19
"2498",16.77,45.01,1013.47,81.42,458.22
"2499",29.18,71.43,1011.65,59.49,443.75
"2500",17.86,52.9,1015.71,67.99,457.42
"2501",4.24,39.9,1009.28,96.74,491.25
"2502",24.11,59.27,1011.02,78.18,444.35
"2503",15.5,40.12,1012.79,96.75,460.41
"2504",9.62,41.01,1019.43,97.99,467.34
"2505",5.05,35.57,1027.03,80.02,491.4
"2506",26.81,71.29,1009.65,80.69,434.48
"2507",15.68,39.16,1006.09,75.62,461.98
"2508",21.85,63.86,1020.16,68.84,445.62
"2509",30.98,67.45,1015.18,45.4,433.59
"2510",30.14,67.69,1006.54,57.05,426.91
"2511",29.89,71.29,1009,55.72,431.45
"2512",29.42,56.9,1006.51,53.6,439.51
"2513",26.6,61.02,1010.26,66.16,436.19
"2514",19.64,48.06,1014.81,74.96,455.27
"2515",13.16,54.3,1017.33,82.43,468.4
"2516",33.17,70.4,1004.45,58,430.14
"2517",16.14,44.71,1014.83,39.41,468.88
"2518",25.34,71.06,1007.74,92.52,434.86
"2519",21.12,63.56,1014.16,81.42,445.9
"2520",13.41,39.35,1015.1,79.32,471.85
"2521",13.38,40.12,1013.92,96.96,468.15
"2522",17.27,43.52,1021.37,76.73,460.08
"2523",16.69,46.18,1010.8,96.8,466.03
"2524",7.8,39.04,1018.46,66.5,482.31
"2525",27.14,75.23,1011.47,63.14,439.33
"2526",21.08,44.05,1008.13,72.52,449.6
"2527",32.23,69.13,1000.61,55.1,426.9
"2528",13.48,40.73,1017.59,94.81,463.6
"2529",10.45,40,1019.01,89.01,465.43
"2530",25.43,70.17,1000.46,87.84,436.43
"2531",7.09,39.37,1020.07,73.26,487
"2532",31.24,74.22,1007.74,48.77,430.44
"2533",21.92,61.87,1009.68,58.83,445.52
"2534",10.74,52.75,1021.75,75.41,467.48
"2535",13.67,41.48,1017.51,63.54,463.97
"2536",9.79,39.69,1002.36,93.86,471.61
"2537",14.04,39.64,1011.09,87.22,472.31
"2538",24.43,61.25,1011.66,85.24,436.05
"2539",14.88,42.28,1007.26,71.3,466.73
"2540",10.68,38.38,1020.79,72.33,476.22
"2541",14.22,42.32,1015.54,77.23,465
"2542",14.47,44.66,1016.33,93.52,464.41
"2543",7.19,40.81,1015.22,85.65,487.15
"2544",11.73,37.92,1008.24,65.13,472.04
"2545",10.94,43.67,1012.36,73.3,477.34
"2546",14.44,39,1017.06,76.02,466.96
"2547",24.53,74.78,1009.9,78.34,446.3
"2548",29.72,54.2,1012.86,38.48,438.84
"2549",17.52,44.05,1008.87,85.67,455.72
"2550",12.99,44,1025.22,90.27,470.93
"2551",10.04,39.66,1015.84,82.31,480.63
"2552",30.5,66.75,1017.55,38.2,432.87
"2553",33.11,69.75,1008.88,42.08,437.19
"2554",13.41,40.89,1010.85,89.61,472.4
"2555",26.98,74.78,1009.77,69.54,442.28
"2556",15.19,42.03,1017.38,71.66,462.64
"2557",28.24,64.69,1007.35,61.14,438.03
"2558",29.04,60.07,1014.88,47.23,438.5
"2559",13.74,45.08,1024.97,84.79,466.79
"2560",12.58,39.72,1017.85,57.74,471.24
"2561",17.3,47.45,1010.29,87.13,448.79
"2562",28,69.05,1000.82,65.24,427.71
"2563",15.15,53.82,1016.34,62.59,461.6
"2564",25.47,65.34,1015.3,50.31,445.39
"2565",20.78,68.28,1008.75,60.87,450.57
"2566",26.12,49.02,1008.63,72.04,438.52
"2567",13.78,40.73,1017.55,94.28,462.59
"2568",26.28,68.14,1005.61,53.17,435.71
"2569",27.76,75.33,1003.69,79.62,433.03
"2570",18.26,49.64,1024.92,62.82,462.6
"2571",6.4,39.18,1024.6,86.83,484.44
"2572",26.31,44.57,1007.51,52.6,452.73
"2573",32.89,73.68,1014.45,52.34,426.46
"2574",6.74,36.08,1020.36,86.98,484.18
"2575",22.69,65.18,1012.47,80.9,441.18
"2576",33.11,77.54,1010.36,50.99,431.77
"2577",22.28,58.86,1014.08,66.47,446.55
"2578",28.84,75.6,1018.41,53.96,442.69
"2579",31.75,74.99,1003.25,53.33,430.82
"2580",9.6,41.82,1032.93,72.63,475.01
"2581",21.54,69.48,1011.04,80.48,443.15
"2582",13.33,38.47,1015.42,58.27,466.26
"2583",12.73,37.73,1021.89,61.76,470.89
"2584",28.73,68.24,1008.31,56.85,430.63
"2585",9,43.13,1020.25,81.32,481.09
"2586",31.1,68.51,1012.99,54.3,428.68
"2587",28.81,56.86,1005.82,56.86,434.08
"2588",14.95,42.74,1027.66,66.71,464.31
"2589",23.04,48.06,1014.16,54.99,459.36
"2590",24.04,68.94,1007.62,69.11,437.13
"2591",27.69,65.34,1014.31,46.59,442.84
"2592",28.82,64.79,1016.74,56.34,445.1
"2593",25.23,69.34,1009.51,82.87,445.92
"2594",8.77,40.77,1011.54,89.58,480.56
"2595",7.61,44.71,1019.41,70.48,485.36
"2596",28.37,75.6,1017.48,55.19,439.25
"2597",21.82,50.66,1013.74,73.6,455.2
"2598",14.82,42.74,1028.04,69.81,466.34
"2599",13.97,52.05,1012.05,85.36,463.64
"2600",31.74,72.25,1012.21,41.62,437.29
"2601",27.27,72.58,1009.25,89.31,428.93
"2602",23.95,58.79,1010.45,74.34,448.32
"2603",29.08,66.54,1004.67,64.5,430.16
"2604",28.3,64.33,1011.23,68.88,441.51
"2605",12.66,43.67,1012.49,95.96,472.44
"2606",30.12,74.16,1013.13,63.56,433.08
"2607",29.44,65.51,1014.82,56.49,445.67
"2608",25.95,59.92,1010.05,76.05,443.93
"2609",32.5,71.37,1003.75,43.8,433.7
"2610",23.97,44.57,1007.35,62.71,448.17
"2611",21.97,58.12,1015.29,77.47,449.6
"2612",32.17,73.21,1001.43,69.86,430.64
"2613",12.35,40.73,1019.03,95.53,466.71
"2614",18.03,53.16,1013.06,82.03,458.04
"2615",32.07,71.29,1008.43,44.95,426.96
"2616",31.39,69.59,1008.28,62.86,435.76
"2617",11.92,40.62,1016.66,55.25,468.14
"2618",10.65,41.78,1013.66,70.04,474.27
"2619",31.24,68.3,1015.89,42.84,435.2
"2620",9.13,39.04,1022.36,74.6,483.24
"2621",23.39,71.25,1005.22,93.7,435.68
"2622",11.95,42.03,1017.58,90.89,465.2
"2623",33.3,68.14,1003.02,53.43,426.88
"2624",24.27,61.47,1007.84,80.85,448.66
"2625",18.13,39.72,1002.75,58.85,455.81
"2626",21.9,55.5,1018.85,60.27,456.52
"2627",27.52,67.9,1005.65,59.52,439.01
"2628",16.76,48.14,1012.92,65.74,456.31
"2629",12.77,36.71,1013.29,86.4,475.59
"2630",16.44,53.82,1015.4,63.16,462.09
"2631",29.01,70.32,1007.26,60.55,429.23
"2632",18.9,57.5,1016.21,93.9,451.42
"2633",22.33,71.94,1011.06,82.85,441.85
"2634",26.58,59.39,1014.49,65.87,439.46
"2635",17.36,52.9,1015.42,69.97,458.66
"2636",28.18,64.84,1009.22,56.04,443.65
"2637",24.63,59.57,1010.45,85.36,440.67
"2638",13.62,40.2,1014.2,85.05,465.74
"2639",16.62,54.3,1017.99,63.76,459.59
"2640",17.33,41.35,999.51,68.36,460.46
"2641",20.72,63.94,1017.17,59.83,447.69
"2642",6.89,39.37,1020.21,74.17,486.9
"2643",33.61,69.88,1007.4,42.51,435.99
"2644",27.38,59.21,1012.74,53.53,437.78
"2645",23.21,63.94,1013.56,80.23,446.11
"2646",26.13,71.25,999.8,88.47,430.6
"2647",15.18,44.2,1019.6,72.45,462.09
"2648",5.66,39.42,1024.7,78.52,482.11
"2649",15.75,36.99,1007.67,93.8,464.38
"2650",29.45,75.6,1018.12,50.68,437.31
"2651",20.12,69.45,1013.23,88.48,442.89
"2652",22.8,73.17,1011.87,91.57,437.98
"2653",29.93,71.85,1008.43,66.64,426.82
"2654",29.25,72.99,1006.85,61.15,429.12
"2655",34.14,74.34,1000.19,43.56,434.23
"2656",19.47,58.79,1016.8,87.26,450.17
"2657",24.03,58.46,1015.71,70.15,442.03
"2658",12.71,43.02,1012.25,62.68,475.38
"2659",26.6,61.41,1012.35,54.42,451.4
"2660",27.09,65.61,1014.22,48.13,442.94
"2661",26.44,71.77,1006.68,81.45,430.12
"2662",28.31,65.71,1014.67,59.29,447.26
"2663",10.87,44.71,1021.38,58.22,484.63
"2664",29.54,69.48,1008.91,56.07,427.82
"2665",15.98,41.48,1017,55.73,456.31
"2666",24.27,70.47,1008.96,78.31,434.24
"2667",29.78,70.98,1007.82,77.59,436.32
"2668",24.05,64.69,1006.63,69.2,438.36
"2669",28.59,80.18,1011.36,89.18,431.55
"2670",13.97,40.24,1018.32,88.72,467.93
"2671",11.56,40.43,1025.48,74.75,489.54
"2672",20.07,49.21,1012.34,56.8,454.25
"2673",31.19,68.3,1014.86,39.1,430.48
"2674",18.39,67.71,1003.77,92.48,444.63
"2675",9.78,43.8,1022.25,69.64,477.22
"2676",29.26,69.34,1009.76,58.64,435.32
"2677",9.53,38.38,1020.49,80.08,478.03
"2678",22.32,48.41,1008.68,79.11,445.36
"2679",18.95,42.23,1013.01,79.4,462.73
"2680",11.55,42.34,1020.78,94.56,469.13
"2681",27.3,65.12,1016.24,44.87,442.78
"2682",22.1,68.63,1015.19,59.05,449.54
"2683",17.12,68.28,1003.56,94.29,449.94
"2684",14.85,45.87,1009.37,84.65,462.67
"2685",10.33,40.69,1014.25,84.46,480.18
"2686",19.45,46.33,1013.39,99.52,452.82
"2687",12.16,40.81,1025.79,70.97,476.63
"2688",7.65,36.3,1016.5,65.51,482.56
"2689",4.31,38.5,1011.75,82.08,492.92
"2690",19.04,43.43,1009.25,68.74,453.32
"2691",26.02,70.79,1004.21,79.12,428.72
"2692",26.09,60.29,1017.72,50.83,444.71
"2693",27.14,65.27,1013.26,55.17,441.68
"2694",22.67,58.2,1016.91,60.75,446.36
"2695",7.28,40.67,1020.16,72.7,493.3
"2696",25.62,73.17,1011.65,86.45,430.56
"2697",22.33,59.8,1016.84,67.09,450.07
"2698",23.93,68.28,1005.16,69.91,444.95
"2699",29.07,51.43,1006.22,61.58,438.79
"2700",15.79,50.88,1014.58,99.9,460.19
"2701",28.81,64.96,1000.46,68.05,427.91
"2702",17.07,44.9,1020.74,70.18,460.19
"2703",32.51,69.98,1011.92,49.45,428.37
"2704",22.11,59.8,1016.74,73.9,453.45
"2705",18.41,62.1,1020.4,78.1,457.14
"2706",28.9,71.25,1000.73,77.24,431.52
"2707",10.47,44.21,1017.87,85.34,476.02
"2708",10.09,37.14,1012.99,72.59,473.66
"2709",27.09,73.5,1011.34,76.06,434.31
"2710",17.44,44.89,1009.9,80.54,457.67
"2711",23.76,58.82,1011.75,77.34,444.57
"2712",31.11,69.05,1002.37,41.56,433.19
"2713",23.86,63.77,1014.6,82.37,440.58
"2714",15.09,40.89,1010.15,92,466.47
"2715",9.26,39.61,1021.18,84.58,480.38
"2716",15.83,52.75,1024.3,58.34,458.6
"2717",9.96,39.66,1015.23,82.98,480.6
"2718",19.3,65.59,1014.07,81.98,452.76
"2719",19.91,51.19,1008,90.23,449.23
"2720",23.18,51.43,1011.56,81.83,449.94
"2721",19.13,45.38,1014.72,81.95,459.94
"2722",24.6,63.78,1017.25,60.33,448.65
"2723",29.38,74.9,1003.25,72.19,433.74
"2724",29.15,69.48,1008.68,55.78,430.54
"2725",31.03,69.59,1007.77,63.96,432.56
"2726",21.84,45.09,1013.94,46.11,450.88
"2727",6.28,43.02,1013.72,88.13,487.17
"2728",22.48,50.32,1008.47,83.58,444.5
"2729",31.51,71.97,1007.84,71.18,430.11
"2730",15.67,41.1,1004.1,77.93,466.45
"2731",13.24,39.16,1016.52,86.66,474.48
"2732",17.1,43.52,1020.3,70.51,461.51
"2733",32.32,67.9,1006.08,37.93,428.12
"2734",23.51,63.78,1016.1,69.79,446.58
"2735",13.58,40.75,1016.05,76.45,472.73
"2736",12.43,40.27,1007.08,61.56,470.92
"2737",16.37,39.64,1009.19,76.92,463.91
"2738",7.64,43.79,1016.17,84.45,486.01
"2739",21.03,59.8,1015.86,76.63,453.86
"2740",33.37,73.88,1005.8,47.94,436.76
"2741",18.92,62.26,1012.05,85.99,451.51
"2742",20.61,48.78,1020.8,85.05,449.38
"2743",22.38,63.31,1014.76,73.8,441.3
"2744",30.2,73.67,1006.31,62.14,428.72
"2745",31.02,70.4,1006.24,77.86,431.37
"2746",17.64,57.76,1016.28,85.04,455.75
"2747",28.85,58.33,1013.78,41.39,444
"2748",22.4,70.94,1008.06,84.52,440.04
"2749",19.13,68.61,1010.65,94.92,448.69
"2750",23.79,59.44,1012.53,79.48,448.67
"2751",22.12,60.37,1008.75,92.13,439.18
"2752",29.14,67.45,1015.51,46.47,433.34
"2753",20.17,56.03,1019.47,56.77,458.04
"2754",29.3,74.16,1007.72,81.92,431.32
"2755",5.7,40.62,1016.07,84.94,482.82
"2756",25.5,68.08,1011.13,72.86,436.07
"2757",16.06,47.45,1009.97,88.09,450.62
"2758",27.75,65.34,1014.8,45.91,440.83
"2759",25.12,66.56,1009.22,65.62,436.56
"2760",22.78,62.44,1011.79,75.43,446.12
"2761",29.3,69.48,1010.1,53.69,429.42
"2762",8.01,40.02,1031.33,85.01,477.84
"2763",16.58,38.01,1023.5,60.14,464.03
"2764",17.08,58.86,1016.04,87.46,449.98
"2765",17.54,44.58,1016.56,79,465.51
"2766",26.93,56.9,1006.25,77.79,444.7
"2767",22.52,67.32,1011.4,66.2,443.49
"2768",13.48,46.18,1018.15,88.38,464.58
"2769",9.05,40,1015.48,80.91,472.41
"2770",19.93,56.65,1020.7,62.82,456.53
"2771",29.68,64.33,1011.2,57.73,441.79
"2772",30.52,70.04,1010.62,54.47,431.14
"2773",12.54,40.8,1024.56,68.97,479.65
"2774",27.6,69.05,1003.87,42.01,436.08
"2775",18.48,46.48,1007.53,82.57,461.49
"2776",15.24,48.6,1007.08,86.49,459.85
"2777",4.41,42.07,1005.54,68.85,488.36
"2778",15.82,44.88,1018.59,78.88,461.9
"2779",24.65,72.43,1007.99,90.05,437.59
"2780",19.02,52.72,1025.44,51.9,461.57
"2781",23.32,69.13,1010.75,91.84,435.27
"2782",23.99,68.12,1012.92,70.68,437.14
"2783",10.12,39.96,1025.98,98.63,471.6
"2784",12.53,43.56,1014.8,74.05,469.23
"2785",18.11,52.08,1002.51,100.09,449.99
"2786",24.94,59.07,1008.89,84.79,440.12
"2787",30.92,59.57,1010.87,62.43,440.96
"2788",12.68,45.01,1013.86,83.26,448.69
"2789",25.41,66.49,1014.06,51.09,449.2
"2790",14.12,39.4,1008.02,76.45,468.63
"2791",28.33,64.96,999.71,69.66,427.42
"2792",14.77,49.15,1020.56,80.27,467.72
"2793",29,70.72,1009.51,67.72,437.55
"2794",18.02,49.78,1003.86,100.09,451.41
"2795",11.55,40.6,1014.44,87.06,475.14
"2796",15.31,52.75,1025.21,55.22,460.77
"2797",12.36,37.73,1021.36,65.45,470.39
"2798",19.45,58.95,1017.79,93.46,445.1
"2799",27.05,67.79,1010.99,71.37,443.89
"2800",9.73,40.22,1011.48,87.88,481.42
"2801",11.11,37.5,1013.68,73.67,473.32
"2802",13.01,41.58,1020.82,78.41,464.64
"2803",11.76,40.96,1023.22,81.31,475.18
"2804",17.58,39.63,1004.84,80.43,467.33
"2805",27.54,51.43,1012.3,54.82,439.8
"2806",29.79,77.17,1009.68,64,432.84
"2807",13.83,40.2,1013.28,90.44,465.53
"2808",32.05,77.24,1008.06,67.09,432.49
"2809",28.14,76.86,1000.7,70.17,434.68
"2810",34.11,73.56,1006.77,45.92,432.78
"2811",22.83,70.79,1006.36,92.07,438
"2812",21.04,47.43,1007.15,64.82,450.27
"2813",12.39,40.75,1016.05,81.91,475.96
"2814",27.7,72.24,1011.02,67.6,434.56
"2815",16.62,39.99,1007.07,77.14,463.74
"2816",25.27,67.07,1006.34,66.35,445.81
"2817",9.52,41.26,1020.55,89.73,475.44
"2818",17.74,58.33,1013.55,81.8,446.01
"2819",22.9,49.3,1003.45,80.95,441.77
"2820",14.86,43.14,1019.21,99.14,461.14
"2821",26.71,66.25,1008.11,79.28,435.41
"2822",13.42,42.86,1013.88,85.13,473.27
"2823",25.82,72.39,1003.4,86.33,432.98
"2824",15.14,44.21,1019.97,83.86,463.1
"2825",10.17,41.17,1018.58,87.72,478.04
"2826",27.44,65.59,1010.76,68.67,441.08
"2827",23.94,63.21,1013.52,83.12,440.15
"2828",25.16,74.33,1014.55,76.7,436.15
"2829",12.88,42.74,1026.25,74.54,470.89
"2830",31.87,67.32,1013.65,36.69,435.47
"2831",22.18,65.46,1016.74,54.02,447.92
"2832",9.41,41.54,1019.48,82.19,481.59
"2833",12.17,40.6,1013.59,88.62,473.76
"2834",30.57,69.71,1008.94,59.99,439.38
"2835",28.16,70.98,1008.51,72.12,435.04
"2836",9.72,43.41,1016.25,76.39,474.1
"2837",11.9,39.16,1016.53,84.59,477.75
"2838",7.1,41.74,1022.25,91.07,484.12
"2839",11.47,40.27,1005.39,77.4,479.44
"2840",28.19,67.45,1013.97,49.76,434.77
"2841",9.75,36.66,1026.21,70.12,479.45
"2842",7.55,43.65,1019.09,61.71,481.61
"2843",19.9,56.53,1020.52,78.05,456.48
"2844",12.45,40.56,1017.84,66.52,477.41
"2845",9.15,39.61,1018.11,75.29,474.88
"2846",14.38,40.66,1016.34,92.37,463.1
"2847",26.16,67.9,1005.81,61.02,444.06
"2848",22.63,45.61,1014.14,73.06,457.88
"2849",30.51,70.79,1004.55,56.05,428.79
"2850",26.2,60.07,1014.75,59.41,440.89
"2851",25.77,69.04,1009.66,65.49,445.35
"2852",14.74,44.47,1028.29,67.87,462.92
"2853",17.02,44.85,1014.38,62.66,459.98
"2854",17.68,53.16,1013.09,82.79,456.86
"2855",8.93,40.46,1019.03,71,472.77
"2856",9.49,40.69,1015.09,91.31,476.67
"2857",23.48,72.99,1009.61,88.16,437.1
